map,family,source_split,queries,landmark_build_ns,packed_distance_bytes,staged_lazy_time_ratio_median,staged_lazy_time_ratio_q1,staged_lazy_time_ratio_q3,staged_lazy_log_time_ratio_median,staged_lazy_log_time_ratio_q1,staged_lazy_log_time_ratio_q3,pivot_saved_median,pivot_saved_q1,pivot_saved_q3,pivot_saving_median,pivot_saving_q1,pivot_saving_q3,read_saved_median,read_saved_q1,read_saved_q3,read_saving_median,read_saving_q1,read_saving_q3,suffix_avoided_calls_median,suffix_avoided_calls_q1,suffix_avoided_calls_q3,extra_open_work_median,extra_open_work_q1,extra_open_work_q3,suffix_avoidance_rate_median,suffix_avoidance_rate_q1,suffix_avoidance_rate_q3,manhattan_mean_search_ns,manhattan_median_search_ns,manhattan_amortized_ns_q1,manhattan_amortized_ns_q10,manhattan_amortized_ns_q100,manhattan_amortized_ns_q1000,eager_full_mean_search_ns,eager_full_median_search_ns,eager_full_amortized_ns_q1,eager_full_amortized_ns_q10,eager_full_amortized_ns_q100,eager_full_amortized_ns_q1000,lazy_full_mean_search_ns,lazy_full_median_search_ns,lazy_full_amortized_ns_q1,lazy_full_amortized_ns_q10,lazy_full_amortized_ns_q100,lazy_full_amortized_ns_q1000,staged_mean_search_ns,staged_median_search_ns,staged_amortized_ns_q1,staged_amortized_ns_q10,staged_amortized_ns_q100,staged_amortized_ns_q1000
maze-128-128-2.map,maze,validation,100,3709279100,2097152,0.9352744500329484,0.86506239252340889,1.0299482143559735,-0.066915940225672071,-0.14495369952843706,0.029507208747533761,11172,6020,16702,0.31216364388087203,0.26818494683921362,0.39137056748906834,11172,6020,16702,0.31167763157894735,0.26644412878787876,0.39006347243362083,399,215,596.5,1422,833.5,2009,0.3573159582935998,0.30679824561403513,0.44960295620724899,57482671,47152250,57482671,57482671,57482671,57482671,34320502.5,28963725,3743599602.5,405248412.5,71413293.5,38029781.600000001,38565408.5,33251250,3747844508.5,409493318.5,75658199.5,42274687.600000001,36680977.5,31226125,3745960077.5,407608887.5,73773768.5,40390256.600000001
random-32-32-20.map,random,validation,100,269729900,131072,1.0694435876383057,0.98331225969119718,1.1224592810455909,0.067138397175454445,-0.016828572890648517,0.11552206281122707,28,0,119,0.025735294117647058,0,0.14192708333333334,28,0,119,0.025000000000000001,0,0.1271701388888889,1,0,4.25,39,23.5,70,0.030303030303030304,0,0.16818181818181818,563976.5,420975,563976.5,563976.5,563976.5,563976.5,1102125.5,970675,270832025.5,28075115.5,3799424.5,1371855.3999999999,887363.5,730750,270617263.5,27860353.5,3584662.5,1157093.3999999999,915608,804275,270645508,27888598,3612907,1185337.8999999999
room-64-64-16.map,room,validation,100,1208713300,524288,0.98956910706117562,0.88185110206831263,1.102346287703968,-0.010502828971760646,-0.12573207891856056,0.097440027864789697,686,0,1848,0.18610576923076921,0,0.38990312965722801,686,0,1848,0.18471534653465346,0,0.38344254032258063,24.5,0,66,136,65.5,240.5,0.21430802874101845,0,0.45324074074074078,8519317.5,4138350,8519317.5,8519317.5,8519317.5,8519317.5,4120133.5,3365075,1212833433.5,124991463.5,16207266.5,5328846.7999999998,3742301.5,2853675,1212455601.5,124613631.5,15829434.5,4951014.7999999998,3552404.5,2751325,1212265704.5,124423734.5,15639537.5,4761117.7999999998
warehouse-10-20-10-2-1.map,warehouse,validation,100,1811228400,1298304,1.1372396320703206,1.0292617856435291,1.2403629985503355,0.12860172558826477,0.028833197814143587,0.21539107622388814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,92.5,250,0,0,0,1212036,1042975,1212036,1212036,1212036,1212036,3344545,2795325,1814572945,184467385,21456829,5155773.4000000004,2802499,2408550,1814030899,183925339,20914783,4613727.4000000004,3203819,2727200,1814432219,184326659,21316103,5015047.4000000004
maze-128-128-10.map,maze,holdout,100,4435567100,2097152,0.93429071720967727,0.85251711663379215,1.0484213198506362,-0.067969449120349926,-0.15956222508994439,0.047284890475303827,4284,1554,6678,0.30791666666666667,0.18710816693559232,0.42467419236417031,4284,1554,6678,0.30339956888699982,0.18683216924119506,0.42294927969627627,153,55.5,238.5,466,265,772.5,0.35555372445616351,0.21415496782290355,0.48732944328879174,53087109.5,37292050,53087109.5,53087109.5,53087109.5,53087109.5,13341906,11558775,4448909006,456898616,57697577,17777473.100000001,13863016.5,12041025,4449430116.5,457419726.5,58218687.5,18298583.600000001,12919282.5,10858700,4448486382.5,456475992.5,57274953.5,17354849.600000001
random-32-32-10.map,random,holdout,100,254474000,131072,1.1104412378445492,1.0520971508276271,1.229698354582508,0.10475583840070915,0.050783938869339643,0.20676836749272076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27.5,60,0,0,0,481086,389475,481086,481086,481086,481086,1310748.5,1143100,255784748.5,26758148.5,3855488.5,1565222.5,883047.5,782750,255357047.5,26330447.5,3427787.5,1137521.5,992385,820525,255466385,26439785,3537125,1246859
room-32-32-4.map,room,holdout,100,173516900,131072,1.0386603398597549,0.94602310839562909,1.1119320924910696,0.037931464601041139,-0.055497041038999481,0.10609857928102064,112,28,280,0.118981124807396,0.039772727272727272,0.20999999999999999,112,28,280,0.11463100686498856,0.038043478260869568,0.20192307692307693,4,1,10,60,36,82.5,0.14087301587301587,0.047433035714285712,0.25,840896,580850,840896,840896,840896,840896,1224640.5,1169950,174741540.5,18576330.5,2959809.5,1398157.3999999999,1132980,1024075,174649880,18484670,2868149,1306496.8999999999,1134542,1100825,174651442,18486232,2869711,1308058.8999999999
warehouse-10-20-10-2-2.map,warehouse,holdout,100,3127199000,1827840,1.1572815877180722,1.0522165814366178,1.2972289268191004,0.14607378492621861,0.050898061263414909,0.26022767459777646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,139.5,321.5,0,0,0,2095302,1918650,2095302,2095302,2095302,2095302,6427192,5804375,3133626192,319147092,37699182,9554391,4375908.5,3917450,3131574908.5,317095808.5,35647898.5,7503107.5,5045433,4754125,3132244433,317765333,36317423,8172632
